# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
0111;Außenanlagen für Geschäfts-, Fabrik- und andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0112;Hof- und Wegebefestigungen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0113;Einrichtungen für Geschäfts-, Fabrik- und andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0115;Andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0120;Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0129;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0140;Wohnbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0145;Garagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0146;Außenanlagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0147;Hof- und Wegebefestigungen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0148;Einrichtungen für Wohnbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0149;Gebäudeteil des häuslichen Arbeitszimmers;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0150;Wohnbauten im Bau auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0159;Anzahlungen auf Wohnbauten auf eigenen Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0160;Bauten auf fremden Grundstücken;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0165;Geschäftsbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0170;Fabrikbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0175;Garagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0176;Außenanlagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0177;Hof- und Wegebefestigungen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0178;Einrichtungen für Geschäfts-, Fabrik-, Wohn- und andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0179;Andere Bauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0180;Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0189;Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0190;Wohnbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0191;Garagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0192;Außenanlagen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0193;Hof- und Wegebefestigungen;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0194;Einrichtungen für Wohnbauten;aktiv;;;;Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken;;;;
0195;Wohnbauten im Bau auf fremden Grundstücken;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0199;Anzahlungen auf Wohnbauten auf fremden Grundstücken Seite;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0200;Technische Anlagen und Maschinen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0210;Maschinen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0220;Maschinengebundene Werkzeuge;aktiv;;;;Technische Anlagen und Maschinen;;;;
0240;Technische Anlagen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0260;Transportanlagen und Ähnliches;aktiv;;;;Technische Anlagen und Maschinen;;;;
0280;Betriebsvorrichtungen;aktiv;;;;Technische Anlagen und Maschinen;;;;
0290;Technische Anlagen und Maschinen im Bau;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0299;Anzahlungen auf technische Anlagen und Maschinen;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0300;Andere Anlagen, Betriebs- und Geschäftsausstattung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0310;Andere Anlagen;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0320;Pkw;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0350;Lkw;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0380;Sonstige Transportmittel;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0400;Betriebsausstattung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0410;Geschäftsausstattung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0420;Büroeinrichtung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0430;Ladeneinrichtung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0440;Werkzeuge;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0450;Einbauten in fremde Grundstücke;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0460;Gerüst- und Schalungsmaterial;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0480;Geringwertige Wirtschaftsgüter;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0485;Wirtschaftsgüter (Sammelposten);aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0490;Sonstige Betriebs- und Geschäftsausstattung;aktiv;;;;Andere Anlagen, Betriebs- und Geschäftsausstattung;;;;
0498;Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0499;Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung Finanzanlagen;aktiv;;;;Geleistete Anzahlungen und Anlagen im Bau;;;;
0500;Anteile an verbundenen Unternehmen (Anlagevermögen);aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0501;Anteile an verbundenen Unternehmen, Personengesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0502;Anteile an verbundenen Unternehmen, Kapitalgesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0503;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0504;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0505;Ausleihungen an verbundene Unternehmen;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0506;Ausleihungen an verbundene Unternehmen, Personengesellschaften;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0507;Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0508;Ausleihungen an verbundene Unternehmen, Einzelunternehmen;aktiv;;;;Ausleihungen an verbundene Unternehmen;;;;
0509;Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0510;Beteiligungen;aktiv;;;;Beteiligungen;;;;
0513;Typisch stille Beteiligungen;aktiv;;;;Beteiligungen;;;;
0516;Atypisch stille Beteiligungen;aktiv;;;;Beteiligungen;;;;
0517;Beteiligungen an Kapitalgesellschaften;aktiv;;;;Beteiligungen;;;;
0518;Beteiligungen an Personengesellschaften;aktiv;;;;Beteiligungen;;;;
0519;Beteiligung einer GmbH &amp, Co. KG an einer Komplementär GmbH;aktiv;;;;Beteiligungen;;;;
0520;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;aktiv;;;;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;;;;
0523;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften;aktiv;;;;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;;;;
0524;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften;aktiv;;;;Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht;;;;
0525;Wertpapiere des Anlagevermögens;aktiv;;;;Wertpapiere des Anlagevermögens;;;;
0530;Wertpapiere mit Gewinnbeteiligungsansprüchen, die dem Teileinkünfteverfahren unterliegen;aktiv;;;;Wertpapiere des Anlagevermögens;;;;
0535;Festverzinsliche Wertpapiere;aktiv;;;;Wertpapiere des Anlagevermögens;;;;
0538;Anteile einer GmbH &amp, Co. KG an einer Komplementär-GmbH;aktiv;;;;Anteile an verbundenen Unternehmen;;;;
0540;Übrige sonstige Ausleihungen;aktiv;;;;Sonstige Ausleihungen;;;;
0550;Darlehen;aktiv;;;;Sonstige Ausleihungen;;;;
0570;Genossenschaftsanteile zum langfristigen Verbleib;aktiv;;;;Genossenschaftsanteile;;;;
0580;Ausleihungen an Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0582;Ausleihungen an GmbH-Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0583;Ausleihungen an Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;R;;;
0584;Ausleihungen an persönlich haftende Gesellschafter;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0586;Ausleihungen an Kommanditisten;aktiv;;;;Ausleihungen an Gesellschafter;;;;
0590;Ausleihungen an nahe stehende Personen;aktiv;;;;Sonstige Ausleihungen;;;;
0595;Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib Verbindlichkeiten;aktiv;;;;Rückdeckungsansprüche aus Lebensversicherungen;;;;
0600;Anleihen, nicht konvertibel;aktiv;;;;Anleihen;KU;;;
0601;- Restlaufzeit bis 1 Jahr;aktiv;;;;Anleihen;KU;;;
0605;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Anleihen;KU;;;
0610;- Restlaufzeit größer 5 Jahre;aktiv;;;;Anleihen;KU;;;
0615;Anleihen konvertibel;aktiv;;;;Anleihen;KU;;;
0616;- Restlaufzeit bis 1 Jahr;aktiv;;;;Anleihen;KU;;;
0620;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Anleihen;KU;;;
0625;- Restlaufzeit größer 5 Jahre;aktiv;;;;Anleihen;KU;;;
0630;Verbindlichkeiten gegenüber Kreditinstituten;aktiv;;;;Verbindlichkeiten gegenüber Kreditinstituten oder Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;KU;;;
0631;- Restlaufzeit bis 1 Jahr;aktiv;;;;Verbindlichkeiten gegenüber Kreditinstituten oder Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;KU;;;
0640;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Kreditinstituten oder Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;KU;;;
0650;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Kreditinstituten oder Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;KU;;;
