# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
1607;Verbindlichkeiten aus Lieferungen und Leistungen ohne Vorsteuerabzug (EÜR);aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen oder Sonstige Vermögensgegenstände;F;EÜR;;
1609;Gegenkonto 1605-1607 bei Aufteilung der Verbindlichkeiten nach Steuersätzen (EÜR);aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen oder Sonstige Vermögensgegenstände;F;EÜR;;
1610;Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent;aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen oder Sonstige Vermögensgegenstände;F;;;1623
1624;Verbindlichkeiten aus Lieferungen und Leistungen für Investitionen für § 4 Abs. 3 EStG;aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen oder Sonstige Vermögensgegenstände;F;EÜR;;
1625;Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr;aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen oder Sonstige Vermögensgegenstände;F;;;
1626;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen oder Sonstige Vermögensgegenstände;F;;;
1628;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen oder Sonstige Vermögensgegenstände;F;;;
1630;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber verbundenen Unternehmen;aktiv;;;;Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen;F;;;
1631;- Restlaufzeit bis 1 Jahr;aktiv;;;;Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen;F;;;
1635;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen;F;;;
1638;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber verbundenen Unternehmen oder Forderungen gegen verbundene Unternehmen;F;;;
1640;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht;aktiv;;;;Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;F;;;
1641;- Restlaufzeit bis 1 Jahr;aktiv;;;;Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;F;;;
1645;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;F;;;
1648;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;F;;;
1650;Verbindlichkeiten aus Lieferungen und Leistungen gegenüber Gesellschaftern;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern oder Sonstige Vermögensgegenstände oder Andere Forderungen gegen Gesellschafter oder Forderungen gegen Gesellschafter;F;;;
1651;- Restlaufzeit bis 1 Jahr;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern oder Sonstige Vermögensgegenstände oder Andere Forderungen gegen Gesellschafter oder Forderungen gegen Gesellschafter;F;;;
1655;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern oder Sonstige Vermögensgegenstände oder Andere Forderungen gegen Gesellschafter oder Forderungen gegen Gesellschafter;F;;;
1658;- Restlaufzeit größer 5 Jahre;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern oder Sonstige Vermögensgegenstände oder Andere Forderungen gegen Gesellschafter oder Forderungen gegen Gesellschafter;F;;;
1659;Gegenkonto 1625-1658 bei Aufteilung Kreditorenkonto;aktiv;;;;Verbindlichkeiten aus Lieferungen und Leistungen S-Saldo oder Sonstige Vermögensgegenstände H-Saldo;KU;;;
1660;Verbindlichkeiten aus der Annahme gezogener Wechsel und aus der Ausstellung eigener Wechsel;aktiv;;;;Verbindlichkeiten aus der Annahme gezogener Wechsel und aus der Ausstellung eigener Wechsel;R;;;1664
1665;Verbindlichkeiten gegenüber GmbH-Gesellschaftern;aktiv;;;;Verbindlichkeiten gegenüber Gesellschaftern oder Forderungen gegen Gesellschafter;KU;;;
1666;- Restlaufzeit bis 1 Jahr Seite;aktiv;;;;Verbindlichkeiten gegenüber Gesellschaftern oder Forderungen gegen Gesellschafter;KU;;;
1667;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
1668;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
1670;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern;aktiv;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;KU;;;
1671;- Restlaufzeit bis 1 Jahr;aktiv;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;KU;;;
1672;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;KU;;;
1673;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;KU;;;
1675;Verbindlichkeiten gegenüber Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
1676;- Restlaufzeit bis 1 Jahr;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
1677;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
1678;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;KU;;;
1691;Verbindlichkeiten gegenüber Arbeitsgemeinschaften;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1692;Neutralisierung aufwandswirksamer Sachverhalte für § 4 Abs. 3 EStG;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;EÜR;;
1693;Ergebnisneutrale Sachverhalte für § 4 Abs. 3 EStG;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;EÜR;;
1695;Verbindlichkeiten gegenüber stillen Gesellschaftern;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1696;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1697;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1698;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1700;Sonstige Verbindlichkeiten;passiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1701;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1702;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1703;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1704;Sonstige Verbindlichkeiten nach § 11 Abs. 2 Satz 2 EStG für § 4 Abs. 3 EStG;aktiv;;;;Sonstige Verbindlichkeiten;KU;EÜR;;
1705;Darlehen;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1706;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1707;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1708;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1709;Gewinnverfügungskonto stille Gesellschafter - sonstige Verbindlichkeiten;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1710;Erhaltene Anzahlungen auf Bestellungen (Verbindlichkeiten);aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;M;;;
1711;Erhaltene, versteuerte Anzahlungen 7 % USt (Verbindlichkeiten);aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;AM;;U;
1712;Erhaltene, versteuerte Anzahlungen 5 % USt (Verbindlichkeiten);aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;AM;;U;
1713;Erhaltene Anzahlungen auf Bestellungen;aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;R;;;
1714;Erhaltene, versteuerte Anzahlungen 0 % USt (Verbindlichkeiten);aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;AM;;U;
1715;Erhaltene Anzahlungen - Nachsteuer;aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;KU;;;
1716;Erhaltene Anzahlungen auf Bestellungen;aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;R;;;
1717;Erhaltene, versteuerte Anzahlungen 16 % USt (Verbindlichkeiten);aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;AM;;U;
1718;Erhaltene, versteuerte Anzahlungen 19 % USt (Verbindlichkeiten);aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;AM;;U;
1719;Erhaltene Anzahlungen - Restlaufzeit bis 1 Jahr;aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;M;;;
1720;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;M;;;
1721;- Restlaufzeit größer 5 Jahre;aktiv;;;;Erhaltene Anzahlungen auf Bestellungen;M;;;
1722;Erhaltene Anzahlungen auf Bestellungen (von Vorräten offen abgesetzt);aktiv;;;;Erhaltene Anzahlungen auf Bestellungen (von Vorräten offen abgesetzt);M;;;
1725;Umsatzsteuer in Folgeperiode fällig (§§ 13 Abs. 1 Nr. 6 und 13b Abs. 2 UStG);aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1728;Umsatzsteuer aus im anderen EU- Land steuerpflichtigen elektronischen Dienstleistungen;aktiv;;;;Sonstige Verbindlichkeiten;S;;;
1729;Steuerzahlungen aus im anderen EU-Land steuerpflichtigen Leistungen;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1730;Kreditkartenabrechnung;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1731;Agenturwarenabrechnung;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1732;Erhaltene Kautionen;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1733;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1734;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1735;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1736;Verbindlichkeiten aus Steuern und Abgaben;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1737;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1738;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1739;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1740;Verbindlichkeiten aus Lohn und Gehalt;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1741;Verbindlichkeiten aus Lohn- und Kirchensteuer;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1742;Verbindlichkeiten im Rahmen der sozialen Sicherheit;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1743;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1744;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1745;- Restlaufzeit größer 5 Jahre Art.-Nr. 11174 2026-01-01;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1746;Verbindlichkeiten aus Einbehaltungen (KapESt und SolZ, KiSt auf Kap- ESt) für offene Ausschüttungen;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1747;Verbindlichkeiten für Verbrauchsteuern;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1748;Verbindlichkeiten für Einbehaltungen von Arbeitnehmern;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1749;Verbindlichkeiten an das Finanzamt aus abzuführendem Bauabzugsbetrag;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1750;Verbindlichkeiten aus Vermögensbildung;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1751;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1752;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1753;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1754;Steuerzahlungen an andere Länder;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1755;Lohn- und Gehaltsverrechnungskonto;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1756;Lohn- und Gehaltsverrechnung nach § 11 Abs. 2 Satz 2 EStG für § 4 Abs. 3 EStG;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;EÜR;;
1757;Verbindlichkeiten gegenüber Gesellschaft/Gesamthand 28);aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;SB;;
1758;Sonstige Verbindlichkeiten aus genossenschaftlicher Rückvergütung;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1759;Voraussichtliche Beitragsschuld gegenüber den Sozialversicherungsträgern;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1760;Umsatzsteuer nicht fällig;aktiv;;;;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;S;;;
1761;Umsatzsteuer nicht fällig 7 %;aktiv;;;;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;S;;U;
1762;Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen;aktiv;;;;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;S;;;
1763;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;aktiv;;;;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;R;;;
1764;Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen 19 %;aktiv;;;;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;S;;U;
1765;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;aktiv;;;;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;R;;;
1766;Umsatzsteuer nicht fällig 19 %;aktiv;;;;Steuerrückstellungen (allgemein) oder Sonstige Vermögensgegenstände;S;;U;
1767;Umsatzsteuer aus im anderen EU- Land steuerpflichtigen Lieferungen;aktiv;;;;Sonstige Verbindlichkeiten;S;;;
1768;Umsatzsteuer aus im anderen EU- Land steuerpflichtigen sonstigen Leistungen/Werklieferungen;aktiv;;;;Sonstige Verbindlichkeiten;S;;;
1769;Umsatzsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1770;Umsatzsteuer;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1771;Umsatzsteuer 7 %;passiv;USt7;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1772;Umsatzsteuer aus innergemeinschaftlichem Erwerb;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1773;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;R;;;
1774;Umsatzsteuer aus innergemeinschaftlichem Erwerb 19 %;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1775;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;R;;;
1776;Umsatzsteuer 19 %;passiv;USt19;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1777;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1778;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen 19 %;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1779;Umsatzsteuer aus innergemeinschaftlichem Erwerb ohne Vorsteuerabzug;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1780;Umsatzsteuer-Vorauszahlungen;passiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;F;;U;
1781;Umsatzsteuer-Vorauszahlungen 1/11;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;F;;U;
1782;Nachsteuer, UStVA Kz. 65;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;F;;U;
1783;In Rechnung unrichtig oder unberechtigt ausgewiesene Steuerbeträge, UStVA Kz. 69;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;F;;U;
1784;Umsatzsteuer aus innergemeinschaftlichem Erwerb von Neufahrzeugen von Lieferanten ohne Umsatzsteuer-Identifikationsnummer;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1785;Umsatzsteuer nach § 13b UStG;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1786;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;R;;;
1787;Umsatzsteuer nach § 13b UStG 19 %;passiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1788;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;R;;;
1789;Umsatzsteuer laufendes Jahr;passiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1790;Umsatzsteuerverbindlichkeiten Vorjahr;passiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1791;Umsatzsteuerverbindlichkeiten frühere Jahre;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1792;Sonstige Verrechnungskonten (Interimskonten);aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;;;
1793;Verrechnungskonto geleistete Anzahlungen bei Buchung über Kreditorenkonto;aktiv;;;;Sonstige Vermögensgegenstände H-Saldo;KU;;;
1794;Umsatzsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;S;;;
1795;Verbindlichkeiten im Rahmen der sozialen Sicherheit für § 4 Abs. 3 EStG;aktiv;;;;Sonstige Verbindlichkeiten oder Sonstige Vermögensgegenstände;KU;EÜR;;
1796;Ausgegebene Geschenkgutscheine;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1797;Verbindlichkeiten aus Umsatzsteuer-Vorauszahlungen;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
1798;Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen, nur OSS Privat (Eigenkapital) Vollhafter/Einzelunternehmer;aktiv;;;;Sonstige Verbindlichkeiten;S;;;
1800;Privatentnahmen allgemein;eigenkapital;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1801;Privatentnahmen allgemein (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1810;Privatsteuern;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1811;Privatsteuern (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1820;Sonderausgaben beschränkt abzugsfähig Seite 11;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1821;Sonderausgaben beschränkt abzugsfähig (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1830;Sonderausgaben unbeschränkt abzugsfähig;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1831;Sonderausgaben unbeschränkt abzugsfähig (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1840;Zuwendungen, Spenden;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1841;Zuwendungen, Spenden (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1850;Außergewöhnliche Belastungen;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1851;Außergewöhnliche Belastungen (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1860;Grundstücksaufwand;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1861;Grundstücksaufwand (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1869;Grundstücksaufwand (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen) 10)22);aktiv;;;;Entnahmen;V;;;
1870;Grundstücksertrag;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1871;Grundstücksertrag (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1879;Grundstücksertrag (Umsatzsteuerschlüssel möglich, nur Einzelunternehmen) 10)22);aktiv;;;;Entnahmen;M;;;
1880;Unentgeltliche Wertabgaben;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1881;Unentgeltliche Wertabgaben (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1890;Privateinlagen;eigenkapital;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
1891;Privateinlagen (nur Einzelunternehmen) 22);aktiv;;;;Entnahmen;F;;;
1900;Auszahlungen allgemein (Teilhafter), Fremdkapital 8);aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1901;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1909
1910;Privatsteuern (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1911;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1919
1920;Sonderausgaben beschränkt abzugsfähig (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1921;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1929
1930;Sonderausgaben unbeschränkt abzugsfähig (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1931;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1939
1940;Zuwendungen, Spenden (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1941;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1949
1950;Außergewöhnliche Belastungen (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1951;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1959
1960;Grundstücksaufwand (Teilhafter), Fremdkapital;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
1961;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;1969
